County,Foreign_Born,Home_Ownership,Bachelor's_Degree
"Autauga County, AL",2.641207604,75.45275238,29.5585747
"Baldwin County, AL",3.472710136,77.87053149,32.56157871
"Barbour County, AL",3.119347188,64.97338066,11.88118812
"Bibb County, AL",1.096579929,75.73447894,10.91993721
"Blount County, AL",4.812363526,79.27494682,14.74140677
"Bullock County, AL",3.766460108,64.66666667,9.376746786
"Butler County, AL",1.696433275,70.77548731,13.04839439
"Calhoun County, AL",2.322618412,70.91490837,19.15343781
"Chambers County, AL",1.467699064,72.17530244,12.73374889
"Cherokee County, AL",1.966572261,79.74392318,14.59266857
"Chilton County, AL",4.073992025,75.01033607,13.97301447
"Choctaw County, AL",0.4420238377,81.98163734,13.04684048
"Clarke County, AL",0.7893139041,72.25207621,13.76834218
"Clay County, AL",0.6474769512,78.34092981,12.76235949
"Cleburne County, AL",1.393291072,78.0420066,16.49106303
"Coffee County, AL",3.939580649,69.46422433,21.60794398
"Colbert County, AL",1.725161516,71.00489985,18.04334517
"Conecuh County, AL",0.8293020041,74.6912194,13.31424481
"Coosa County, AL",0.4550295285,81.24531133,10.63486147
"Covington County, AL",1.153374887,74.97534169,16.30808787
"Crenshaw County, AL",2.597500947,74.58152511,17.1950153
"Cullman County, AL",2.318653437,76.19840114,18.29648895
"Dale County, AL",3.364674957,60.14948454,19.16169442
"Dallas County, AL",1.213275583,61.41123839,15.6942734
"DeKalb County, AL",7.361886161,73.85753211,14.14901312
"Elmore County, AL",2.061714598,77.0942083,24.16046915
"Escambia County, AL",0.7318732145,67.14790355,12.5564589
"Etowah County, AL",2.376436893,73.3520662,17.71986523
"Fayette County, AL",0.7424679389,75.84242227,13.00315016
"Franklin County, AL",8.653275437,73.23605303,14.82834528
"Geneva County, AL",1.756295268,75.73861996,13.91318091
"Greene County, AL",1.336620815,73.53760446,16.71866398
"Hale County, AL",0.6240672907,77.49398482,16.37274549
"Henry County, AL",0.8968869344,81.57343703,20.96170687
"Houston County, AL",2.54577728,65.46469923,22.46023272
"Jackson County, AL",1.640123152,76.11514272,16.18856251
"Jefferson County, AL",3.92077529,64.09324514,35.57149417
"Lamar County, AL",0.6697875405,74.65170279,10.2385284
"Lauderdale County, AL",2.349224523,67.51314172,25.82553745
"Lawrence County, AL",1.108225631,79.43721257,15.7807309
"Lee County, AL",5.711316424,65.24414572,40.1628628
"Limestone County, AL",3.804259158,77.6936638,29.53043097
"Lowndes County, AL",0.7977937555,77.48062984,16.31840796
"Macon County, AL",1.182414835,62.95049783,20.55555556
"Madison County, AL",5.505399186,68.02386428,45.0855764
"Marengo County, AL",1.444212722,68.27483399,21.9589136
"Marion County, AL",1.044413245,72.88981666,11.8306471
"Marshall County, AL",7.14745259,75.37712218,21.42164782
"Mobile County, AL",3.187654333,63.49049215,24.20819815
"Monroe County, AL",0.4440855874,72.41710058,13.51134457
"Montgomery County, AL",4.841495275,57.23186322,33.67757954
"Morgan County, AL",5.138827964,72.74810432,23.84711455
"Perry County, AL",0.6132798679,70.14634146,15.22393677
"Pickens County, AL",4.12681638,74.16349005,14.50853443
"Pike County, AL",3.97914962,63.02934311,27.71153345
"Randolph County, AL",1.514946571,79.24160843,18.80363776
"Russell County, AL",2.93632857,61.16699344,16.3640012
"St. Clair County, AL",1.45553266,81.73650925,19.32799157
"Shelby County, AL",4.988924418,80.94203591,45.603827
"Sumter County, AL",1.180714989,69.27886619,21.75686701
"Talladega County, AL",1.867948955,71.92743904,16.60279413
"Tallapoosa County, AL",1.706625294,75.48971894,18.15136854
"Tuscaloosa County, AL",3.528705551,62.29659087,30.87652069
"Walker County, AL",1.12345717,77.48199693,15.2889733
"Washington County, AL",0.7386290009,88.41264076,14.21904762
"Wilcox County, AL",0.5171918399,79.4635373,11.61408969
"Winston County, AL",1.893891355,78.23794354,13.8251559
"Aleutians East Borough, AK",32.34517171,58.84315907,16.93457944
"Aleutians West Census Area, AK",44.03142364,27.65737874,15.43641544
"Anchorage Municipality, AK",10.8275938,63.80420781,37.0343043
"Bethel Census Area, AK",2.249433596,58.99233297,9.694331784
"Bristol Bay Borough, AK",9.25058548,50.70422535,26.25786164
"Chugach Census Area, AK",8.114285714,62.61343013,31.46682897
"Copper River Census Area, AK",1.377199694,68.80733945,28.08486879
"Denali Borough, AK",9.519276535,86.85714286,25.14934289
"Dillingham Census Area, AK",3.213844252,60.76589595,20.46864232
"Fairbanks North Star Borough, AK",5.289774556,59.99888343,32.94539527
"Haines Borough, AK",4.473304473,69.72010178,33.66197183
"Hoonah-Angoon Census Area, AK",2.490339201,74.50980392,27.52992383
"Juneau City and Borough, AK",8.477637972,64.26211877,40.73735129
"Kenai Peninsula Borough, AK",3.67181565,76.75531227,27.96734302
"Ketchikan Gateway Borough, AK",8.957584472,65.66091954,28.49326173
"Kodiak Island Borough, AK",19.3264447,56.62514156,28.4688441
"Kusilvak Census Area, AK",1.278069756,70.92274678,4.590325765
"Lake and Peninsula Borough, AK",6.506506507,67.17791411,15.51459293
"Matanuska-Susitna Borough, AK",3.495274293,76.4647493,23.65452788
"Nome Census Area, AK",1.627071272,62.63460158,18.31416247
"North Slope Borough, AK",7.488099597,46.67896679,14.19550059
"Northwest Arctic Borough, AK",1.861494402,60.97972973,15.1536643
"Petersburg Borough, AK",20.8358032,73.36523126,24.79306267
"Prince of Wales-Hyder Census Area, AK",3.27642697,72.62210797,19.39291737
"Sitka City and Borough, AK",10.08035925,64.49840995,34.19535497
"Skagway Municipality, AK",8.058326938,65.6097561,27.83505155
"Southeast Fairbanks Census Area, AK",8.696283391,75.01142074,19.78385532
"Wrangell City and Borough, AK",3.748828491,65.19396552,18.0243746
"Yakutat City and Borough, AK",17.19858156,55.84415584,10.83123426
"Yukon-Koyukuk Census Area, AK",2.072829132,72.37728585,14.14082875
"Apache County, AZ",1.551760681,80.04649752,13.7825675
"Cochise County, AZ",10.78451683,70.21336554,26.69621703
"Coconino County, AZ",5.051656819,59.05602677,39.59321721
"Gila County, AZ",3.14120444,75.62736638,18.08534772
"Graham County, AZ",2.473149039,73.42319854,13.95205648
"Greenlee County, AZ",4.028261099,56.20460048,16.67236078
"La Paz County, AZ",12.03165278,68.36494221,12.38246891
"Maricopa County, AZ",14.51227084,64.30593914,34.98486048
"Mohave County, AZ",6.461310093,72.57300171,14.40628884
"Navajo County, AZ",2.306040519,72.30933049,17.29080505
"Pima County, AZ",12.22513965,64.14394611,34.98408713
"Pinal County, AZ",9.164670534,79.64684138,21.40475955
"Santa Cruz County, AZ",33.36677955,67.20317098,23.50320336
"Yavapai County, AZ",6.767018459,73.11013497,28.67976691
"Yuma County, AZ",24.72721579,69.06317791,16.42364945
"Arkansas County, AR",1.392152256,66.2448544,15.77929178
"Ashley County, AR",2.297823115,74.32582708,11.5791862
"Baxter County, AR",2.172196837,74.34940329,18.16021512
"Benton County, AR",11.96636978,67.84205676,35.50804181
"Boone County, AR",1.170941533,70.12918534,16.62985529
"Bradley County, AR",7.112130771,64.92890995,12.54046446
"Calhoun County, AR",1.697045883,86.44859813,12.5361063
"Carroll County, AR",8.945067344,76.44624461,21.4420218
"Chicot County, AR",2.716435411,67.93912176,17.62208068
"Clark County, AR",2.161255764,62.40100566,26.44880876
"Clay County, AR",0.6603838481,73.478476,15.38387159
"Cleburne County, AR",0.7696007696,78.67494824,17.1878358
"Cleveland County, AR",0.2384737679,83.58862144,15.86920377
"Columbia County, AR",1.523759193,72.32302581,18.98653887
"Conway County, AR",2.694639592,68.17857991,19.14658565
"Craighead County, AR",3.590662656,59.68926354,28.20610204
"Crawford County, AR",4.665555427,75.54001144,20.31732899
"Crittenden County, AR",1.789550527,56.18442998,17.62724061
"Cross County, AR",1.848220122,66.2400975,16.06432647
"Dallas County, AR",0.3244746601,71.55963303,13.03789338
"Desha County, AR",3.269827204,62.50271562,13.06722143
"Drew County, AR",2.166502975,67.10545349,25.02292316
"Faulkner County, AR",3.479628604,62.30694573,32.47890938
"Franklin County, AR",1.2995338,73.67636092,12.2993763
"Fulton County, AR",0.640236395,84.51882845,14.38906752
"Garland County, AR",3.85718999,68.27626099,25.24584768
"Grant County, AR",1.675729664,80.3092182,18.78023634
"Greene County, AR",0.8747878313,64.37630348,16.56110644
"Hempstead County, AR",6.478015671,67.66825289,15.78828659
"Hot Spring County, AR",1.122883274,78.65546218,15.50245608
"Howard County, AR",9.16347132,72.58805513,14.97942387
"Independence County, AR",3.352677394,69.40417563,17.10661098
"Izard County, AR",1.200174571,77.25773196,18.93417528
"Jackson County, AR",0.6792183031,66.62851537,11.85545401
"Jefferson County, AR",1.780858756,63.31246396,20.15140907
